res:47000000.000; tol:0.500
res:99000.000; tol:1.000
res:75.000; tol:2.000
res:43.000; tol:10.000
res:2000.000; tol:10.000
res:72.000; tol:0.500
res:66000000.000; tol:0.000
res:7400.000; tol:0.000
res:10000.000; tol:0.000
res:89000000.000; tol:0.100
res:3700.000; tol:0.000
res:104000.000; tol:0.000
res:1020000000.000; tol:1.000
res:5.700; tol:0.000
res:10300.000; tol:10.000
res:31.000; tol:1.000
res:1.200; tol:0.250
res:4100.000; tol:0.250
res:910000000.000; tol:1.000
res:8300000.000; tol:0.000
res:45.000; tol:0.500
res:5.800; tol:0.000
res:85000000.000; tol:0.100
res:580000000.000; tol:0.000
res:1090000.000; tol:0.000
res:610.000; tol:0.000
res:990.000; tol:0.100
res:18.000; tol:0.100
res:27.000; tol:0.250
res:610000.000; tol:1.000
res:0.150; tol:0.000
res:370000.000; tol:0.500
res:0.180; tol:0.500
res:190000.000; tol:0.000
res:90000.000; tol:2.000
res:1040.000; tol:0.500
res:99000.000; tol:2.000
res:1.500; tol:5.000
res:0.890; tol:0.000
res:88000.000; tol:0.000
res:160000.000; tol:5.000
res:14000000.000; tol:0.250
res:5.300; tol:10.000
res:25.000; tol:0.500
res:111000000.000; tol:0.000
res:520000.000; tol:0.050
res:560000000.000; tol:0.000
res:910000.000; tol:10.000
res:61.000; tol:2.000
res:640000000.000; tol:0.000
res:0.600; tol:5.000
res:100000000.000; tol:10.000
res:1000.000; tol:0.050
res:0.270; tol:0.100
res:41000.000; tol:0.100
res:0.840; tol:0.000
res:610000000.000; tol:2.000
res:990.000; tol:0.050
res:10600000.000; tol:0.250
res:310.000; tol:0.000
res:111.000; tol:0.100
res:500.000; tol:1.000
res:1040000000.000; tol:0.100
res:700.000; tol:0.000
res:560000000.000; tol:0.500
res:910.000; tol:0.100
res:6100000.000; tol:0.000
res:190.000; tol:0.000
res:10000000.000; tol:0.500
res:50000.000; tol:1.000
res:240000.000; tol:0.000
res:0.550; tol:0.000
res:0.240; tol:0.000
res:1110.000; tol:0.500
res:0.490; tol:5.000
res:2600.000; tol:5.000
res:550000000.000; tol:10.000
res:101000000.000; tol:0.000
res:10.000; tol:0.000
res:350000000.000; tol:0.000
res:75000000.000; tol:0.100
res:5900000.000; tol:1.000
res:8800.000; tol:0.000
res:220.000; tol:0.000
res:640.000; tol:0.000
res:800000000.000; tol:5.000
res:1900.000; tol:0.000
res:0.020; tol:0.050
res:990.000; tol:0.500
res:150000.000; tol:1.000
res:1100.000; tol:0.500
res:670000000.000; tol:5.000
res:670000000.000; tol:0.500
res:800000000.000; tol:0.000
res:88000000.000; tol:5.000
res:820000000.000; tol:0.250
res:780000.000; tol:10.000
res:36000000.000; tol:1.000
res:460000000.000; tol:0.500
res:0.530; tol:0.000
res:0.390; tol:0.250
res:70.000; tol:0.000
res:55.000; tol:0.500
res:0.000; tol:2.000
res:10000000.000; tol:0.050
res:16000.000; tol:2.000
res:1180000000.000; tol:0.000
res:790000.000; tol:0.050
res:90.000; tol:5.000
res:11100000.000; tol:0.100
res:8300000.000; tol:10.000
res:73000.000; tol:1.000
res:770000.000; tol:1.000
res:17.000; tol:0.000
res:970000.000; tol:5.000
res:500.000; tol:0.000
res:6.100; tol:5.000
res:6600000.000; tol:0.250
res:110000.000; tol:0.500
res:590.000; tol:5.000
res:600000000.000; tol:0.000
res:12100000.000; tol:5.000
res:970000000.000; tol:2.000
res:16.000; tol:0.500
res:840000000.000; tol:1.000
res:11400000.000; tol:1.000
res:110000000.000; tol:5.000
res:310000000.000; tol:2.000
res:930.000; tol:1.000
res:540.000; tol:0.500
res:0.310; tol:0.000
res:660.000; tol:0.000
res:620000.000; tol:0.000
res:10100.000; tol:1.000
res:530.000; tol:0.000
res:8100.000; tol:0.000
res:5.000; tol:0.500
res:11000000.000; tol:0.000
res:87.000; tol:0.050
res:1000.000; tol:0.050
res:210000000.000; tol:5.000
res:17.000; tol:5.000
res:65.000; tol:0.100
res:30000000.000; tol:0.500
res:470000.000; tol:0.000
res:310000.000; tol:0.000
res:3300.000; tol:0.000
res:8400.000; tol:0.500
res:8.100; tol:0.050
res:1050000000.000; tol:0.100
res:980000000.000; tol:0.000
res:11100000.000; tol:0.000
res:4000.000; tol:2.000
res:9200.000; tol:0.000
res:80000.000; tol:0.050
res:1060000.000; tol:1.000
res:1.060; tol:0.000
res:11.000; tol:0.500
res:1040000000.000; tol:0.100
res:610000000.000; tol:10.000
res:0.800; tol:1.000
res:6.100; tol:0.000
res:90000.000; tol:0.050
res:1.000; tol:0.000
res:69000.000; tol:0.250
res:100.000; tol:10.000
res:29000000.000; tol:0.000
res:5100000.000; tol:10.000
res:120000.000; tol:0.250
res:1.080; tol:0.000
res:24.000; tol:5.000
res:890000.000; tol:0.000
res:1.100; tol:0.100
res:610000000.000; tol:0.250
res:8700000.000; tol:0.050
res:580000000.000; tol:5.000
res:28.000; tol:0.000
res:55000.000; tol:0.500
res:1000000000.000; tol:2.000
res:490000.000; tol:10.000
res:7000000.000; tol:0.000
res:1110000000.000; tol:0.000
res:101000000.000; tol:0.000
res:10.600; tol:0.000
res:11500000.000; tol:1.000
res:10000000.000; tol:0.000
res:1100000.000; tol:10.000
res:0.910; tol:0.250
res:30000.000; tol:2.000
res:270000.000; tol:1.000
res:0.410; tol:0.050
res:22000000.000; tol:0.000
res:5.000; tol:0.000
res:10300000.000; tol:0.100
res:930.000; tol:0.000
res:6800000.000; tol:0.250
res:740000.000; tol:2.000
res:1190000.000; tol:0.000
res:89000.000; tol:0.100
res:690000000.000; tol:10.000
res:64.000; tol:1.000
res:810000.000; tol:0.250
res:1.000; tol:0.250
res:2.000; tol:1.000
res:420000.000; tol:1.000
res:1700000.000; tol:0.000
res:430000.000; tol:0.100
res:85.000; tol:0.000
res:10.000; tol:1.000
res:200000.000; tol:10.000
res:1.100; tol:0.100
res:63000.000; tol:0.000
res:600000000.000; tol:0.100
res:590000000.000; tol:0.050
res:57.000; tol:0.050
res:1040.000; tol:0.500
res:0.730; tol:0.050
res:610.000; tol:0.000
res:10.300; tol:0.100
res:61000.000; tol:0.000
res:40000000.000; tol:0.500
res:5.400; tol:0.250
res:980000.000; tol:0.100
res:0.480; tol:0.100
res:111000.000; tol:0.100
res:11400.000; tol:0.500
res:8900.000; tol:0.100
res:10600.000; tol:0.250
res:1.900; tol:5.000
res:8000.000; tol:0.000
res:710000000.000; tol:0.000
res:5100.000; tol:0.500
res:5.300; tol:0.500
res:720000.000; tol:0.100
res:4500000.000; tol:5.000
res:290000.000; tol:0.000
res:11.200; tol:10.000
res:31000.000; tol:0.000
res:800000.000; tol:0.250
res:8.000; tol:0.000
res:900000.000; tol:0.000
res:4700.000; tol:2.000
res:75.000; tol:2.000
res:50.000; tol:0.050
res:10.100; tol:0.050
res:7700.000; tol:0.000
res:11.400; tol:0.250
res:11.700; tol:0.100
res:86.000; tol:0.050
res:61.000; tol:1.000
res:420000000.000; tol:0.100
res:108000000.000; tol:5.000
res:11000000.000; tol:0.000
res:1200.000; tol:0.500
res:500.000; tol:0.000
res:27.000; tol:0.100
res:470.000; tol:0.000
res:31000.000; tol:0.000
res:11.900; tol:2.000
res:111000000.000; tol:0.000
res:80.000; tol:0.000
res:1900000.000; tol:5.000
res:830000000.000; tol:5.000
res:860000.000; tol:10.000
res:900000000.000; tol:5.000
res:30000.000; tol:0.500
res:54.000; tol:0.100
res:88000000.000; tol:0.100
res:300000.000; tol:10.000
res:930000000.000; tol:0.100
res:10000.000; tol:0.100
res:970000000.000; tol:0.000
res:5.500; tol:0.250
res:60000000.000; tol:5.000
res:9900.000; tol:0.000
res:0.810; tol:0.500
res:35000000.000; tol:2.000
res:36000.000; tol:0.000
res:200000.000; tol:0.500
res:16000.000; tol:0.000
res:111000.000; tol:0.500
res:0.500; tol:0.100
res:11.600; tol:0.000
res:114000.000; tol:0.250
res:111.000; tol:1.000
res:101000.000; tol:0.050
res:300000.000; tol:0.050
res:9000.000; tol:0.000
res:8100.000; tol:1.000
res:60.000; tol:0.500
res:0.100; tol:5.000
res:1500.000; tol:1.000
res:39000000.000; tol:5.000
res:1100.000; tol:0.000
res:5100000.000; tol:1.000
res:87000.000; tol:0.250
res:930.000; tol:0.100
res:0.000; tol:0.050
res:3.900; tol:0.000
res:75.000; tol:0.100
res:87.000; tol:0.000
res:0.610; tol:0.000
res:810.000; tol:0.000
res:7.400; tol:2.000
res:1100000000.000; tol:2.000
res:360.000; tol:10.000
res:420000.000; tol:5.000
res:200000.000; tol:0.000
res:5400.000; tol:0.500
res:46000000.000; tol:0.050
res:590000000.000; tol:0.000
res:0.700; tol:0.000
res:180000.000; tol:0.000
res:8000000.000; tol:5.000
res:40000000.000; tol:0.000
res:85000000.000; tol:0.100
res:109.000; tol:0.250
res:0.810; tol:0.000
res:97000.000; tol:2.000
res:150000000.000; tol:2.000
res:1.190; tol:0.500
res:0.300; tol:0.000
res:170000.000; tol:0.050
res:0.700; tol:0.050
res:80.000; tol:2.000
res:100.000; tol:5.000
res:111.000; tol:1.000
res:10000000.000; tol:5.000
res:10.900; tol:5.000
res:900000000.000; tol:0.100
res:710000.000; tol:0.500
res:72000000.000; tol:0.000
res:63000.000; tol:2.000
res:101000.000; tol:0.000
res:75000000.000; tol:5.000
res:12000.000; tol:1.000
res:9800000.000; tol:10.000
res:70000.000; tol:0.500
res:4.400; tol:0.000
res:60.000; tol:0.000
res:0.400; tol:1.000
res:2700.000; tol:10.000
res:1.010; tol:0.500
res:410000000.000; tol:2.000
res:920.000; tol:0.100
res:4.900; tol:0.000
res:16.000; tol:0.000
res:73.000; tol:0.500
res:31000.000; tol:0.000
res:3.200; tol:5.000
res:37000000.000; tol:0.000
res:11.700; tol:0.500
res:43.000; tol:0.250
res:5100.000; tol:0.500
res:410000000.000; tol:0.250
res:0.490; tol:0.000
res:6.500; tol:0.100
res:61.000; tol:5.000
res:6600.000; tol:10.000
res:4600.000; tol:0.000
res:5100.000; tol:0.250
res:46000.000; tol:0.050
res:1500.000; tol:0.500
res:0.850; tol:0.100
res:50000000.000; tol:0.000
res:75.000; tol:5.000
res:3.900; tol:0.250
res:140000000.000; tol:0.000
res:610.000; tol:0.500
res:108.000; tol:0.050
res:570.000; tol:5.000
res:8.200; tol:0.050
res:1100000.000; tol:5.000
res:840000.000; tol:10.000
res:1.160; tol:5.000
res:5800.000; tol:10.000
res:69.000; tol:0.000
res:0.230; tol:0.000
res:11500.000; tol:0.000
res:7600000.000; tol:0.000
res:8200000.000; tol:0.000
res:11.000; tol:0.000
res:64000000.000; tol:1.000
res:200.000; tol:0.500
res:12000.000; tol:1.000
res:1090.000; tol:0.500
res:49000000.000; tol:0.000
res:10.000; tol:0.500
res:100.000; tol:0.050
res:0.000; tol:5.000
res:67000000.000; tol:1.000
res:10000000.000; tol:0.000
res:0.430; tol:5.000
res:0.800; tol:5.000
res:109000.000; tol:0.250
res:3800.000; tol:2.000
res:550000000.000; tol:0.000
res:0.530; tol:1.000
res:9.700; tol:5.000
res:680000.000; tol:0.050
res:0.700; tol:0.000
res:8100.000; tol:0.050
res:0.810; tol:0.500
res:1160.000; tol:1.000
res:270.000; tol:0.000
res:47000000.000; tol:0.050
res:0.240; tol:0.500
res:8.000; tol:2.000
res:11900.000; tol:0.050
res:86.000; tol:5.000
res:10900.000; tol:5.000
res:860000000.000; tol:10.000
res:3100.000; tol:0.000
res:0.510; tol:0.000
res:16000.000; tol:2.000
res:820000000.000; tol:5.000
res:310000000.000; tol:0.000
res:64.000; tol:1.000
res:45000.000; tol:0.500
res:34000.000; tol:0.050
res:9000000.000; tol:10.000
res:23000.000; tol:0.000
res:7.600; tol:0.050
res:4200000.000; tol:1.000
res:8000000.000; tol:0.050
res:1.010; tol:0.500
res:0.500; tol:0.000
res:1090000000.000; tol:5.000
res:640.000; tol:0.500
res:21000000.000; tol:1.000
res:360000.000; tol:0.000
res:84000000.000; tol:0.250
res:1170000.000; tol:0.000
res:30000.000; tol:0.500
res:28.000; tol:5.000
res:5100.000; tol:0.000
res:1000.000; tol:0.000
res:130000.000; tol:2.000
res:31.000; tol:0.500
res:119.000; tol:2.000
res:6.200; tol:5.000
res:3600.000; tol:0.000
res:7.200; tol:0.000
res:61.000; tol:0.000
res:1180.000; tol:1.000
res:0.670; tol:0.000
res:0.300; tol:0.000
res:930.000; tol:0.000
res:6400000.000; tol:0.500
res:105000.000; tol:0.100
res:1060.000; tol:5.000
res:660.000; tol:10.000
res:900000.000; tol:2.000
res:13000.000; tol:2.000
res:950.000; tol:0.000
res:710000000.000; tol:0.000
res:65000000.000; tol:0.100
res:110000000.000; tol:0.000
res:3.300; tol:0.000
res:11.000; tol:0.000
res:4800.000; tol:0.000
res:21.000; tol:1.000
res:3.600; tol:5.000
res:40000000.000; tol:0.050
res:2500000.000; tol:0.050
res:930000000.000; tol:10.000
res:620000.000; tol:10.000
res:1500000.000; tol:0.000
res:8600.000; tol:0.000
res:3.400; tol:1.000
res:10300.000; tol:0.500
res:77000000.000; tol:0.250
res:10400.000; tol:2.000
res:200000.000; tol:0.250
res:4900000.000; tol:0.000
res:810000.000; tol:5.000
res:38000000.000; tol:0.000
res:98000.000; tol:0.500
res:900000.000; tol:0.000
res:105000.000; tol:0.100
res:11.700; tol:0.250
res:9000.000; tol:0.500
res:890000000.000; tol:0.000
res:6.400; tol:0.000
res:39.000; tol:0.100
res:550000000.000; tol:0.250
res:86000000.000; tol:0.000
res:0.520; tol:0.250
res:8.400; tol:0.000
res:69000000.000; tol:0.500
res:102.000; tol:0.000
res:1180.000; tol:0.250
res:0.350; tol:2.000
res:35.000; tol:0.000
res:730000.000; tol:1.000
res:2.100; tol:0.050
res:2000.000; tol:0.250
res:1.500; tol:5.000
res:114000000.000; tol:5.000
res:4300000.000; tol:0.050
res:0.870; tol:1.000
res:92000.000; tol:0.500
res:4100000.000; tol:0.000
res:850000.000; tol:0.050
res:11.300; tol:2.000
res:1.800; tol:0.100
res:1080000.000; tol:0.250
res:8800000.000; tol:1.000
res:5500.000; tol:0.000
res:12000.000; tol:0.000
res:3.700; tol:0.250
res:400.000; tol:10.000
res:1000000.000; tol:0.500
res:78000.000; tol:0.000
res:80000.000; tol:0.000
res:770000000.000; tol:0.000
res:70.000; tol:0.500
res:1110000.000; tol:10.000
res:93000.000; tol:0.000
res:450.000; tol:0.000
res:11000000.000; tol:10.000
res:200.000; tol:10.000
res:0.400; tol:0.000
res:540000.000; tol:1.000
res:72000000.000; tol:5.000
res:140000.000; tol:2.000
res:8.400; tol:0.250
res:700000000.000; tol:0.050
res:60000000.000; tol:1.000
res:67000000.000; tol:2.000
res:1000.000; tol:5.000
res:3700.000; tol:0.250
res:150000000.000; tol:0.100
res:1.800; tol:5.000
res:7300.000; tol:0.250
res:610000.000; tol:0.100
res:980000.000; tol:0.000
res:11300000.000; tol:0.500
res:280.000; tol:10.000
res:800000000.000; tol:0.000
res:340000000.000; tol:0.000
res:101000000.000; tol:10.000
res:40000.000; tol:0.100
res:4800000.000; tol:0.050
res:56000000.000; tol:0.050
res:31000000.000; tol:0.500
res:4100.000; tol:0.100
res:9700.000; tol:0.250
res:21.000; tol:0.100
res:12.000; tol:0.000
res:7000000.000; tol:5.000
res:52.000; tol:0.000
res:80000000.000; tol:0.000
res:630000.000; tol:2.000
res:9300000.000; tol:0.000
res:4800000.000; tol:2.000
res:1.100; tol:10.000
res:5700.000; tol:5.000
res:410000.000; tol:0.100
res:150.000; tol:2.000
res:900.000; tol:1.000
res:0.470; tol:0.100
res:49000.000; tol:2.000
res:11800.000; tol:0.000
res:400.000; tol:5.000
res:24000.000; tol:0.050
res:1060.000; tol:1.000
res:9200.000; tol:5.000
res:4100000.000; tol:0.500
res:730000000.000; tol:0.050
res:10100.000; tol:0.250
res:105.000; tol:0.000
res:11.700; tol:0.000
res:5.000; tol:10.000
res:0.490; tol:0.500
res:0.100; tol:2.000
res:54000000.000; tol:1.000
res:1210000000.000; tol:0.000
res:660.000; tol:0.000
res:800000.000; tol:1.000
res:114000000.000; tol:0.100
res:86000.000; tol:0.100
res:0.600; tol:0.000
res:3.100; tol:0.050
res:2600000.000; tol:0.000
res:400000000.000; tol:0.500
res:0.000; tol:0.100
res:10000000.000; tol:0.100
res:115000.000; tol:0.500
res:9.000; tol:10.000
res:103.000; tol:2.000
res:46.000; tol:0.050
res:810000.000; tol:5.000
res:700000000.000; tol:0.500
res:3000.000; tol:0.050
res:1.500; tol:0.000
res:74.000; tol:0.250
res:310000000.000; tol:0.000
res:320000000.000; tol:2.000
res:5.800; tol:10.000
res:47000000.000; tol:0.000
res:11000.000; tol:1.000
res:7300000.000; tol:0.250
res:57.000; tol:10.000
res:110000000.000; tol:0.100
res:32000.000; tol:0.000
res:6.900; tol:0.050
res:10000000.000; tol:0.000
res:22000.000; tol:0.250
res:14000000.000; tol:1.000
res:450000.000; tol:2.000
res:7.000; tol:0.000
res:900.000; tol:10.000
res:44000.000; tol:10.000
res:0.320; tol:0.050
res:5100000.000; tol:0.000
res:800000000.000; tol:0.000
res:11900000.000; tol:2.000
res:3.000; tol:0.100
res:0.240; tol:1.000
res:260000.000; tol:0.000
res:111000.000; tol:0.500
res:34.000; tol:0.500
res:8100.000; tol:0.000
res:0.220; tol:0.050
res:790000.000; tol:0.050
res:5600.000; tol:0.250
res:74.000; tol:0.000
res:1.190; tol:0.100
res:6300000.000; tol:0.000
res:61000000.000; tol:0.050
res:107.000; tol:1.000
res:5600000.000; tol:0.500
res:0.520; tol:5.000
res:170.000; tol:0.100
res:0.420; tol:2.000
res:540.000; tol:2.000
res:11400000.000; tol:0.100
res:9.300; tol:0.000
res:117.000; tol:0.500
res:90000000.000; tol:0.000
res:1210.000; tol:0.000
res:0.000; tol:1.000
res:2.000; tol:2.000
res:76000000.000; tol:0.500
res:16.000; tol:10.000
res:1140000.000; tol:0.250
res:0.050; tol:0.000
res:4.000; tol:0.000
res:4100.000; tol:0.050
res:0.510; tol:0.000
res:440000000.000; tol:1.000
res:230.000; tol:0.100
res:98000000.000; tol:0.000
res:5000.000; tol:0.500
res:450000.000; tol:0.000
res:8000.000; tol:0.100
res:8000.000; tol:0.000
res:4.000; tol:5.000
res:300000000.000; tol:2.000
res:1010.000; tol:1.000
res:700000000.000; tol:1.000
res:310.000; tol:2.000
res:3000000.000; tol:0.000
res:400000.000; tol:2.000
res:350000.000; tol:0.000
res:97000.000; tol:0.000
res:160.000; tol:5.000
res:87000000.000; tol:0.000
res:700.000; tol:10.000
res:51000.000; tol:0.500
res:730000.000; tol:1.000
res:7600.000; tol:0.000
res:32.000; tol:0.000
res:4500.000; tol:1.000
res:0.300; tol:0.000
res:35.000; tol:0.000
res:0.100; tol:0.500
res:420000.000; tol:0.500
res:1100.000; tol:2.000
res:410000.000; tol:5.000
res:0.110; tol:0.000
res:10.300; tol:0.100
res:11400000.000; tol:0.500
res:3200000.000; tol:0.050
res:53000.000; tol:0.050
res:105.000; tol:10.000
res:61000000.000; tol:0.500
res:960.000; tol:0.000
res:0.680; tol:0.000
res:10300000.000; tol:5.000
res:1150000000.000; tol:0.000
res:800000.000; tol:0.000
res:790.000; tol:10.000
res:1140000.000; tol:5.000
res:74000.000; tol:0.100
res:67000.000; tol:0.000
res:61000000.000; tol:10.000
res:140000000.000; tol:0.000
res:12.100; tol:2.000
res:11.200; tol:0.050
res:107000000.000; tol:0.100
res:500.000; tol:10.000
res:740.000; tol:10.000
res:510000.000; tol:0.000
res:800.000; tol:0.100
res:10.200; tol:0.250
res:57.000; tol:10.000
res:80000000.000; tol:0.100
res:32.000; tol:0.100
res:1020000.000; tol:1.000
res:1100000.000; tol:2.000
res:600.000; tol:1.000
res:103.000; tol:0.250
res:910000000.000; tol:5.000
res:11600000.000; tol:2.000
res:92000.000; tol:0.250
res:14000.000; tol:0.000
res:28.000; tol:0.000
res:21000.000; tol:0.000
res:800000000.000; tol:0.000
res:68000.000; tol:10.000
res:650000.000; tol:0.050
res:16000000.000; tol:0.050
res:700000.000; tol:0.000
res:900000000.000; tol:2.000
res:300000.000; tol:10.000
res:790000.000; tol:0.000
res:690000000.000; tol:0.000
res:360000000.000; tol:0.000
res:0.300; tol:0.100
res:510000.000; tol:0.000
res:820000.000; tol:2.000
res:58.000; tol:0.000
res:1150000000.000; tol:0.250
res:8600000.000; tol:5.000
res:2.000; tol:5.000
res:10100.000; tol:0.000
res:0.400; tol:0.000
res:160000000.000; tol:10.000
res:610000.000; tol:0.050
res:33.000; tol:10.000
res:102.000; tol:2.000
res:19000.000; tol:0.100
res:4900000.000; tol:0.000
res:19.000; tol:0.100
res:100000000.000; tol:0.250
res:800.000; tol:0.050
res:9100000.000; tol:0.500
res:1090000000.000; tol:5.000
res:6.900; tol:0.500
res:0.990; tol:10.000
res:330.000; tol:5.000
res:102.000; tol:0.250
res:74000.000; tol:5.000
res:3.500; tol:0.000
res:7700000.000; tol:0.500
res:3400.000; tol:0.250
res:110.000; tol:0.000
res:840.000; tol:0.000
res:1.190; tol:0.000
res:8.000; tol:0.000
res:90000000.000; tol:0.000
res:14000000.000; tol:0.000
res:5.700; tol:5.000
res:52000000.000; tol:0.000
res:260000000.000; tol:5.000
res:1110000000.000; tol:2.000
res:35.000; tol:0.050
res:81000.000; tol:0.500
res:0.000; tol:10.000
res:0.250; tol:0.000
res:160.000; tol:1.000
res:890000000.000; tol:0.050
res:6800000.000; tol:0.050
res:0.800; tol:0.250
res:7000.000; tol:1.000
res:0.170; tol:1.000
res:101.000; tol:0.000
res:1140000000.000; tol:0.000
res:8400.000; tol:1.000
res:0.180; tol:0.000
res:83.000; tol:0.000
res:65000000.000; tol:0.000
res:4700000.000; tol:0.000
res:119.000; tol:0.250
res:14000.000; tol:0.250
res:2500.000; tol:0.250
res:4500000.000; tol:10.000
res:41000.000; tol:10.000
res:0.510; tol:0.100
res:10.800; tol:0.050
res:510000000.000; tol:1.000
res:630000000.000; tol:10.000
res:90.000; tol:2.000
res:24.000; tol:0.000
res:420000000.000; tol:2.000
res:300.000; tol:5.000
res:1080000.000; tol:0.100
res:10900000.000; tol:0.000
res:0.250; tol:0.050
res:3800.000; tol:1.000
res:44000.000; tol:10.000
res:10000000.000; tol:5.000
res:49000000.000; tol:0.000
res:38000.000; tol:1.000
res:1.210; tol:0.000
res:1.000; tol:0.500
res:4.100; tol:10.000
res:1000000.000; tol:0.050
res:110000000.000; tol:5.000
res:6400000.000; tol:0.050
res:61.000; tol:0.000
res:47000.000; tol:0.500
res:11000.000; tol:2.000
res:1.120; tol:0.500
res:10.800; tol:1.000
res:50000.000; tol:0.000
res:85000000.000; tol:5.000
res:80000000.000; tol:0.000
res:10.500; tol:10.000
res:46.000; tol:0.500
res:3200000.000; tol:10.000
res:150000000.000; tol:0.000
res:60000000.000; tol:0.100
res:63000.000; tol:2.000
res:9100000.000; tol:0.000
res:7500000.000; tol:0.000
res:4900000.000; tol:0.100
res:82000.000; tol:2.000
res:7.000; tol:0.000
res:6.200; tol:1.000
res:270000000.000; tol:0.050
res:8900000.000; tol:0.100
res:1020000000.000; tol:0.000
res:320000000.000; tol:0.000
res:500.000; tol:10.000
res:6900.000; tol:0.000
res:60000.000; tol:0.000
res:36.000; tol:0.000
res:530000000.000; tol:1.000
res:410000000.000; tol:0.100
res:106000.000; tol:0.500
res:0.700; tol:0.000
res:77000000.000; tol:0.100
res:0.980; tol:0.250
res:520.000; tol:0.500
res:3.100; tol:0.100
res:10000.000; tol:2.000
res:45000.000; tol:1.000
res:30000.000; tol:0.000
res:430.000; tol:0.000
res:25.000; tol:0.100
res:1700.000; tol:0.000
res:42000.000; tol:10.000
res:570000.000; tol:0.000
res:4000.000; tol:5.000
res:31.000; tol:10.000
res:99000000.000; tol:0.000
res:310.000; tol:0.500
res:0.490; tol:0.250
res:8100.000; tol:0.050
res:180.000; tol:0.000
res:0.440; tol:0.050
res:500.000; tol:2.000
res:9200.000; tol:1.000
res:0.000; tol:5.000
res:1100000.000; tol:1.000
res:31000000.000; tol:0.050
res:620000.000; tol:10.000
res:0.110; tol:0.500
res:100.000; tol:2.000
res:0.500; tol:0.500
res:240.000; tol:0.050
res:610000000.000; tol:1.000
res:7000.000; tol:0.000
res:2.000; tol:5.000
res:2200.000; tol:0.050
res:11.100; tol:0.000
res:7.000; tol:10.000
res:4.100; tol:0.000
res:830000.000; tol:0.050
res:9200000.000; tol:2.000
res:116000.000; tol:0.500
res:1.060; tol:0.000
res:50000.000; tol:0.000
res:11100.000; tol:0.500
res:0.700; tol:2.000
res:6100.000; tol:2.000
res:11500000.000; tol:0.000
res:780000000.000; tol:0.000
res:300000.000; tol:0.000
res:2200000.000; tol:0.000
res:790000.000; tol:0.250
res:41000.000; tol:0.100
res:1000000.000; tol:0.050
